id,year,zip_code,city,state,climate,building_class,facility_type,floor_area,year_built,number_of_people,occupant_density,operating_hours,lighting,air_flow_control,heating,heating_fuel,cooling,wall_type,wall_insulation_r_value,roof_ceiling,window_glass_layers,window_glass_type,energy_star_label,energy_star_rating,leed_score,electric_eui,fuel_eui,site_eui,source_eui,ghg_emissions_int,data_source
10018705,2020,19127,Philadelphia,PA,4A Mixed - Humid (Baltimore-MD),Commercial,Warehouse - Self-storage,63450,2018,No Value,No Value,No Value,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No Value,Unknown,Unknown,Unknown,Unknown,No Value,Unknown,6.4668028265,3.5081192109,9.9749220375,23.9892860468,0.8052559217,Philadelphia Benchmarking Ordinance
10361655,2019,19120,Philadelphia,PA,4A Mixed - Humid (Baltimore-MD),Residential,Multifamily - Uncategorized,394548,1968,No Value,No Value,No Value,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No Value,Unknown,Unknown,Unknown,Unknown,49,Unknown,22.4628851537,61.9363654913,84.3992506450,135.5666431486,5.4393700978,Philadelphia Benchmarking Ordinance
10361655,2020,19120,Philadelphia,PA,4A Mixed - Humid (Baltimore-MD),Residential,Multifamily - Uncategorized,394548,1968,No Value,No Value,No Value,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No Value,Unknown,Unknown,Unknown,Unknown,14,Unknown,25.7863900296,85.6730977513,111.4594877809,170.9260173317,7.0181216338,Philadelphia Benchmarking Ordinance
10363165,2020,19103,Philadelphia,PA,4A Mixed - Humid (Baltimore-MD),Commercial,Lodging - Hotel,266000,1964,No Value,No Value,No Value,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No Value,Unknown,Unknown,Unknown,Unknown,44,Unknown,45.8731595844,50.5288568809,96.4020164653,197.0970208200,7.0741219645,Philadelphia Benchmarking Ordinance
10422550,2019,19103,Philadelphia,PA,4A Mixed - Humid (Baltimore-MD),Residential,Multifamily - Uncategorized,95134,1970,No Value,No Value,No Value,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No Value,Unknown,Unknown,Unknown,Unknown,18,Unknown,48.0835230540,9.4016532406,57.4851762946,160.8539982923,5.1014107545,Philadelphia Benchmarking Ordinance
10422550,2020,19103,Philadelphia,PA,4A Mixed - Humid (Baltimore-MD),Residential,Multifamily - Uncategorized,95134,1970,No Value,No Value,No Value,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No Value,Unknown,Unknown,Unknown,Unknown,10,Unknown,49.8651396489,12.1636224705,62.0287621194,169.3483420915,5.4186180189,Philadelphia Benchmarking Ordinance
10422551,2019,19103,Philadelphia,PA,4A Mixed - Humid (Baltimore-MD),Residential,Multifamily - Uncategorized,74492,2013,No Value,No Value,No Value,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No Value,Unknown,Unknown,Unknown,Unknown,66,Unknown,37.0338299723,0.0000000000,37.0338299723,116.2862261131,3.5445193883,Philadelphia Benchmarking Ordinance
10422551,2020,19103,Philadelphia,PA,4A Mixed - Humid (Baltimore-MD),Residential,Multifamily - Uncategorized,74492,2013,No Value,No Value,No Value,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No Value,Unknown,Unknown,Unknown,Unknown,18,Unknown,49.9095764749,0.0000000000,49.9095764749,156.7160701311,4.7768610919,Philadelphia Benchmarking Ordinance
10471914,2019,19102,Philadelphia,PA,4A Mixed - Humid (Baltimore-MD),Residential,Multifamily - Uncategorized,359504,2017,No Value,No Value,No Value,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No Value,Unknown,Unknown,Unknown,Unknown,No Value,Unknown,36.1979465597,2.2017240392,38.3996705989,115.9733624387,3.5814502906,Philadelphia Benchmarking Ordinance
1048989,2016,19114,Philadelphia,PA,4A Mixed - Humid (Baltimore-MD),Commercial,Warehouse - Non-refrigerated,1000500,2000,No Value,No Value,No Value,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No Value,Unknown,Unknown,Unknown,Unknown,57,Unknown,39.7793926739,16.8478080386,56.6272007125,142.5974914365,4.9248925988,Philadelphia Benchmarking Ordinance
